title,size,magnet,transform,fullpath
[黒ネズミたち] 水属性的魔法师 / Mizu Zokusei no Mahou Tsukai - 12 (CR 1920x1080 AVC AAC MKV),637.0 MB,magnet:?xt=urn:btih:8b2503698d6aa82f26a54e4aa8f5ade3955d445b&tr=http%3a%2f%2ft.nyaatracker.com%2fannounce&tr=http%3a%2f%2ftracker.kamigami.org%3a2710%2fannounce&tr=http%3a%2f%2fshare.camoe.cn%3a8080%2fannounce&tr=http%3a%2f%2fopentracker.acgnx.se%2fannounce&tr=http%3a%2f%2fanidex.moe%3a6969%2fannounce&tr=http%3a%2f%2ft.acg.rip%3a6699%2fannounce&tr=https%3a%2f%2ftr.bangumi.moe%3a9696%2fannounce&tr=udp%3a%2f%2ftr.bangumi.moe%3a6969%2fannounce&tr=http%3a%2f%2fopen.acgtracker.com%3a1096%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,Kirara Fantasia,/Users/DX3906/Desktop/工作室/凌睿/二轮/爬虫/spiderMikan/downloads/full/5b76471719a32d767eaa0367522799f94b7ab8af.torrent
[Prejudice-Studio] 机动战士高达：跨时之战 吉夸克斯 Kidou Senshi Gundam GQuuuuuuX：Beginning [Movie][Bilibili WEB-DL 1080P AVC 8bit AAC MP4][Japanese Audio][简体内嵌],1.2 GB,magnet:?xt=urn:btih:72768094c3199ecfe808d349bb9d6dfe99f25049&tr=http%3a%2f%2ft.nyaatracker.com%2fannounce&tr=http%3a%2f%2ftracker.kamigami.org%3a2710%2fannounce&tr=http%3a%2f%2fshare.camoe.cn%3a8080%2fannounce&tr=http%3a%2f%2fopentracker.acgnx.se%2fannounce&tr=http%3a%2f%2fanidex.moe%3a6969%2fannounce&tr=http%3a%2f%2ft.acg.rip%3a6699%2fannounce&tr=https%3a%2f%2ftr.bangumi.moe%3a9696%2fannounce&tr=udp%3a%2f%2ftr.bangumi.moe%3a6969%2fannounce&tr=http%3a%2f%2fopen.acgtracker.com%3a1096%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,Prejudice-Studio,/Users/DX3906/Desktop/工作室/凌睿/二轮/爬虫/spiderMikan/downloads/full/43a1abfe77e3af8ce22c0977a72091b66fcb6dd2.torrent
"[整理搬运] 犬夜叉 (Inuyasha)：TV动画 (本篇、完结篇)+剧场版+OVA篇+漫画+CD+其他；华日, 华日英, 日语音轨; 外挂简中字幕 (整理时间：2023.05.02)",149.9GB,magnet:?xt=urn:btih:dbf872092a288b5a1ece844d1122524cf596a644&tr=http%3a%2f%2ft.nyaatracker.com%2fannounce&tr=http%3a%2f%2ftracker.kamigami.org%3a2710%2fannounce&tr=http%3a%2f%2fshare.camoe.cn%3a8080%2fannounce&tr=http%3a%2f%2fopentracker.acgnx.se%2fannounce&tr=http%3a%2f%2fanidex.moe%3a6969%2fannounce&tr=http%3a%2f%2ft.acg.rip%3a6699%2fannounce&tr=https%3a%2f%2ftr.bangumi.moe%3a9696%2fannounce&tr=udp%3a%2f%2ftr.bangumi.moe%3a6969%2fannounce&tr=http%3a%2f%2fopen.acgtracker.com%3a1096%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,"
生肉/不明字幕                            ",/Users/DX3906/Desktop/工作室/凌睿/二轮/爬虫/spiderMikan/downloads/full/77dac74c62dd4a4560666878968b56ca4a13b94b.torrent
[黒ネズミたち] 神椿市建设中。 / Kamitsubaki-shi Kensetsuchuu. - 12 (CR 1920x1080 AVC AAC MKV),984.3 MB,magnet:?xt=urn:btih:b72c0760a3539145ae203ee83801e4da5662d865&tr=http%3a%2f%2ft.nyaatracker.com%2fannounce&tr=http%3a%2f%2ftracker.kamigami.org%3a2710%2fannounce&tr=http%3a%2f%2fshare.camoe.cn%3a8080%2fannounce&tr=http%3a%2f%2fopentracker.acgnx.se%2fannounce&tr=http%3a%2f%2fanidex.moe%3a6969%2fannounce&tr=http%3a%2f%2ft.acg.rip%3a6699%2fannounce&tr=https%3a%2f%2ftr.bangumi.moe%3a9696%2fannounce&tr=udp%3a%2f%2ftr.bangumi.moe%3a6969%2fannounce&tr=http%3a%2f%2fopen.acgtracker.com%3a1096%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,Kirara Fantasia,/Users/DX3906/Desktop/工作室/凌睿/二轮/爬虫/spiderMikan/downloads/full/120b627fd2c401925f4e79d9c6a8aac4c636dd64.torrent
[黒ネズミたち] 水属性的魔法师 / Mizu Zokusei no Mahou Tsukai - 12 (Baha 1920x1080 AVC AAC MP4),307.1 MB,magnet:?xt=urn:btih:ecf10b9fda3a049f3959de15e5342af02f0917a9&tr=http%3a%2f%2ft.nyaatracker.com%2fannounce&tr=http%3a%2f%2ftracker.kamigami.org%3a2710%2fannounce&tr=http%3a%2f%2fshare.camoe.cn%3a8080%2fannounce&tr=http%3a%2f%2fopentracker.acgnx.se%2fannounce&tr=http%3a%2f%2fanidex.moe%3a6969%2fannounce&tr=http%3a%2f%2ft.acg.rip%3a6699%2fannounce&tr=https%3a%2f%2ftr.bangumi.moe%3a9696%2fannounce&tr=udp%3a%2f%2ftr.bangumi.moe%3a6969%2fannounce&tr=http%3a%2f%2fopen.acgtracker.com%3a1096%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,Kirara Fantasia,/Users/DX3906/Desktop/工作室/凌睿/二轮/爬虫/spiderMikan/downloads/full/60d9aa5985a7bc434fbee211197553e2a6ff85f5.torrent
[黒ネズミたち] 寻神的旅途 / Haigakura - 13 (Baha 1920x1080 AVC AAC MP4),536.2 MB,magnet:?xt=urn:btih:8d1b0ca06acba7bfad2383b3528faf89da26801a&tr=http%3a%2f%2ft.nyaatracker.com%2fannounce&tr=http%3a%2f%2ftracker.kamigami.org%3a2710%2fannounce&tr=http%3a%2f%2fshare.camoe.cn%3a8080%2fannounce&tr=http%3a%2f%2fopentracker.acgnx.se%2fannounce&tr=http%3a%2f%2fanidex.moe%3a6969%2fannounce&tr=http%3a%2f%2ft.acg.rip%3a6699%2fannounce&tr=https%3a%2f%2ftr.bangumi.moe%3a9696%2fannounce&tr=udp%3a%2f%2ftr.bangumi.moe%3a6969%2fannounce&tr=http%3a%2f%2fopen.acgtracker.com%3a1096%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,Kirara Fantasia,/Users/DX3906/Desktop/工作室/凌睿/二轮/爬虫/spiderMikan/downloads/full/777a9dc350ca8085f673ebe4b471c40104becfdc.torrent
[黒ネズミたち] 双人单身露营 / Futari Solo Camp - 12 (CR 1920x1080 AVC AAC MKV),682.4 MB,magnet:?xt=urn:btih:07058d3c7279fcdecb611bf77990fdcebdfbe01e&tr=http%3a%2f%2ft.nyaatracker.com%2fannounce&tr=http%3a%2f%2ftracker.kamigami.org%3a2710%2fannounce&tr=http%3a%2f%2fshare.camoe.cn%3a8080%2fannounce&tr=http%3a%2f%2fopentracker.acgnx.se%2fannounce&tr=http%3a%2f%2fanidex.moe%3a6969%2fannounce&tr=http%3a%2f%2ft.acg.rip%3a6699%2fannounce&tr=https%3a%2f%2ftr.bangumi.moe%3a9696%2fannounce&tr=udp%3a%2f%2ftr.bangumi.moe%3a6969%2fannounce&tr=http%3a%2f%2fopen.acgtracker.com%3a1096%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,Kirara Fantasia,/Users/DX3906/Desktop/工作室/凌睿/二轮/爬虫/spiderMikan/downloads/full/fdb8f62069162f7e2a41fc79151c48644c2dca76.torrent
[ANi] Haigakura /  寻神的旅途 - 13 [1080P][Baha][WEB-DL][AAC AVC][CHT][MP4],536.7 MB,magnet:?xt=urn:btih:b4d2f967e672c4538879422fd3bc0fdc362bdcb0&tr=http%3a%2f%2ft.nyaatracker.com%2fannounce&tr=http%3a%2f%2ftracker.kamigami.org%3a2710%2fannounce&tr=http%3a%2f%2fshare.camoe.cn%3a8080%2fannounce&tr=http%3a%2f%2fopentracker.acgnx.se%2fannounce&tr=http%3a%2f%2fanidex.moe%3a6969%2fannounce&tr=http%3a%2f%2ft.acg.rip%3a6699%2fannounce&tr=https%3a%2f%2ftr.bangumi.moe%3a9696%2fannounce&tr=udp%3a%2f%2ftr.bangumi.moe%3a6969%2fannounce&tr=http%3a%2f%2fopen.acgtracker.com%3a1096%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,ANi,/Users/DX3906/Desktop/工作室/凌睿/二轮/爬虫/spiderMikan/downloads/full/96b6bfe1de1ce530e7a57399a96876e8b6aacd71.torrent
[黒ネズミたち] 和雨．和你 / Ame to Kimi to - 12 (ABEMA 1920x1080 AVC AAC MP4),685.3 MB,magnet:?xt=urn:btih:f72b8b3ff78fa83907e9e8ff1751847fa4d8f871&tr=http%3a%2f%2ft.nyaatracker.com%2fannounce&tr=http%3a%2f%2ftracker.kamigami.org%3a2710%2fannounce&tr=http%3a%2f%2fshare.camoe.cn%3a8080%2fannounce&tr=http%3a%2f%2fopentracker.acgnx.se%2fannounce&tr=http%3a%2f%2fanidex.moe%3a6969%2fannounce&tr=http%3a%2f%2ft.acg.rip%3a6699%2fannounce&tr=https%3a%2f%2ftr.bangumi.moe%3a9696%2fannounce&tr=udp%3a%2f%2ftr.bangumi.moe%3a6969%2fannounce&tr=http%3a%2f%2fopen.acgtracker.com%3a1096%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,Kirara Fantasia,/Users/DX3906/Desktop/工作室/凌睿/二轮/爬虫/spiderMikan/downloads/full/2e7da4af0fc2093d306f63edb09158c0a3792f50.torrent
"[整理搬运] 新世纪福音战士 (新世纪エヴァンゲリオン) (Neon Genesis Evangelion)：TV动画+新老剧场版+ONA篇+CD+漫画+其他；日语音轨; 外挂简中, 英文字幕 (整理时间：2024.10.31)",136.8GB,magnet:?xt=urn:btih:33dd305268b3fec1c222fd7bc13ba84c5461a3df&tr=http%3a%2f%2ft.nyaatracker.com%2fannounce&tr=http%3a%2f%2ftracker.kamigami.org%3a2710%2fannounce&tr=http%3a%2f%2fshare.camoe.cn%3a8080%2fannounce&tr=http%3a%2f%2fopentracker.acgnx.se%2fannounce&tr=http%3a%2f%2fanidex.moe%3a6969%2fannounce&tr=http%3a%2f%2ft.acg.rip%3a6699%2fannounce&tr=https%3a%2f%2ftr.bangumi.moe%3a9696%2fannounce&tr=udp%3a%2f%2ftr.bangumi.moe%3a6969%2fannounce&tr=http%3a%2f%2fopen.acgtracker.com%3a1096%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,"
生肉/不明字幕                            ",/Users/DX3906/Desktop/工作室/凌睿/二轮/爬虫/spiderMikan/downloads/full/1bd43b69058c03f803dcc37ddc3290dac118c861.torrent
[黒ネズミたち] 我们不可能成为恋人！绝对不行。（※似乎可行？） / Watanare - 12 (ABEMA 1920x1080 AVC AAC MP4),711.6 MB,magnet:?xt=urn:btih:0f03fc5f821582f718d90762a49095c5f3723665&tr=http%3a%2f%2ft.nyaatracker.com%2fannounce&tr=http%3a%2f%2ftracker.kamigami.org%3a2710%2fannounce&tr=http%3a%2f%2fshare.camoe.cn%3a8080%2fannounce&tr=http%3a%2f%2fopentracker.acgnx.se%2fannounce&tr=http%3a%2f%2fanidex.moe%3a6969%2fannounce&tr=http%3a%2f%2ft.acg.rip%3a6699%2fannounce&tr=https%3a%2f%2ftr.bangumi.moe%3a9696%2fannounce&tr=udp%3a%2f%2ftr.bangumi.moe%3a6969%2fannounce&tr=http%3a%2f%2fopen.acgtracker.com%3a1096%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,Kirara Fantasia,/Users/DX3906/Desktop/工作室/凌睿/二轮/爬虫/spiderMikan/downloads/full/8b409214c9c1b51225bfb313fea36cb95346bf93.torrent
