title,size,magnet,transform,fullpath
[黒ネズミたち] 被驱逐开勇者派对的白魔导师，被S级冒险者捡到 ～这个白魔导师超规格～ / Yuusha Party wo Tsuihou Sareta Shiro Madoushi - 09 (B-Global 1920x1080 HEVC AAC MKV),354.7 MB,magnet:?xt=urn:btih:7c2c00044305156a43598aaf3b806f5f852ae16a&tr=http%3a%2f%2ft.nyaatracker.com%2fannounce&tr=http%3a%2f%2ftracker.kamigami.org%3a2710%2fannounce&tr=http%3a%2f%2fshare.camoe.cn%3a8080%2fannounce&tr=http%3a%2f%2fopentracker.acgnx.se%2fannounce&tr=http%3a%2f%2fanidex.moe%3a6969%2fannounce&tr=http%3a%2f%2ft.acg.rip%3a6699%2fannounce&tr=https%3a%2f%2ftr.bangumi.moe%3a9696%2fannounce&tr=udp%3a%2f%2ftr.bangumi.moe%3a6969%2fannounce&tr=http%3a%2f%2fopen.acgtracker.com%3a1096%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,Kirara Fantasia,/Users/DX3906/Desktop/工作室/凌睿/二轮/爬虫/spiderMikan/downloads/full/fa7c298a23622965889ff1e58cdb3c6058bf0424.torrent
[ANi]  被驱逐出勇者队伍的白魔导师，被 S 级冒险者捡到 - 09 [1080P][Baha][WEB-DL][AAC AVC][CHT][MP4],402.2 MB,magnet:?xt=urn:btih:f607764029c24461736a7027a9fbf3b9149abd0c&tr=http%3a%2f%2ft.nyaatracker.com%2fannounce&tr=http%3a%2f%2ftracker.kamigami.org%3a2710%2fannounce&tr=http%3a%2f%2fshare.camoe.cn%3a8080%2fannounce&tr=http%3a%2f%2fopentracker.acgnx.se%2fannounce&tr=http%3a%2f%2fanidex.moe%3a6969%2fannounce&tr=http%3a%2f%2ft.acg.rip%3a6699%2fannounce&tr=https%3a%2f%2ftr.bangumi.moe%3a9696%2fannounce&tr=udp%3a%2f%2ftr.bangumi.moe%3a6969%2fannounce&tr=http%3a%2f%2fopen.acgtracker.com%3a1096%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,ANi,/Users/DX3906/Desktop/工作室/凌睿/二轮/爬虫/spiderMikan/downloads/full/ed1c5ba0236d89383c1bcd6a3599477936004a06.torrent
[黒ネズミたち] 灵异教师神眉 / Jigoku Sensei Nube (2025) - 09 (ABEMA 1920x1080 AVC AAC MP4),701.7 MB,magnet:?xt=urn:btih:d748af0d524dd497c31425e5d4ad75bec0fcc412&tr=http%3a%2f%2ft.nyaatracker.com%2fannounce&tr=http%3a%2f%2ftracker.kamigami.org%3a2710%2fannounce&tr=http%3a%2f%2fshare.camoe.cn%3a8080%2fannounce&tr=http%3a%2f%2fopentracker.acgnx.se%2fannounce&tr=http%3a%2f%2fanidex.moe%3a6969%2fannounce&tr=http%3a%2f%2ft.acg.rip%3a6699%2fannounce&tr=https%3a%2f%2ftr.bangumi.moe%3a9696%2fannounce&tr=udp%3a%2f%2ftr.bangumi.moe%3a6969%2fannounce&tr=http%3a%2f%2fopen.acgtracker.com%3a1096%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,Kirara Fantasia,/Users/DX3906/Desktop/工作室/凌睿/二轮/爬虫/spiderMikan/downloads/full/86f862a87fb82805382700f9c03c07ede5613e86.torrent
[猎户压制部] 水属性的魔法师 / Mizu Zokusei no Mahoutsukai [07] [1080p] [繁日内嵌] [2025年7月番],328.0 MB,magnet:?xt=urn:btih:acc1d21352fc0727d7cea12240fff76ee43b73ba&tr=http%3a%2f%2ft.nyaatracker.com%2fannounce&tr=http%3a%2f%2ftracker.kamigami.org%3a2710%2fannounce&tr=http%3a%2f%2fshare.camoe.cn%3a8080%2fannounce&tr=http%3a%2f%2fopentracker.acgnx.se%2fannounce&tr=http%3a%2f%2fanidex.moe%3a6969%2fannounce&tr=http%3a%2f%2ft.acg.rip%3a6699%2fannounce&tr=https%3a%2f%2ftr.bangumi.moe%3a9696%2fannounce&tr=udp%3a%2f%2ftr.bangumi.moe%3a6969%2fannounce&tr=http%3a%2f%2fopen.acgtracker.com%3a1096%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,猎户发布组,/Users/DX3906/Desktop/工作室/凌睿/二轮/爬虫/spiderMikan/downloads/full/0b0dc62c14dc0e1968322385113bcc8ce2edef63.torrent
[黒ネズミたち] 怪兽8号 第二季 / Kaijuu 8-gou 2nd Season - 19 (ABEMA 1920x1080 AVC AAC MP4),711.0 MB,magnet:?xt=urn:btih:6c54a61a56d28cf3090324ccf2287d8c205cff72&tr=http%3a%2f%2ft.nyaatracker.com%2fannounce&tr=http%3a%2f%2ftracker.kamigami.org%3a2710%2fannounce&tr=http%3a%2f%2fshare.camoe.cn%3a8080%2fannounce&tr=http%3a%2f%2fopentracker.acgnx.se%2fannounce&tr=http%3a%2f%2fanidex.moe%3a6969%2fannounce&tr=http%3a%2f%2ft.acg.rip%3a6699%2fannounce&tr=https%3a%2f%2ftr.bangumi.moe%3a9696%2fannounce&tr=udp%3a%2f%2ftr.bangumi.moe%3a6969%2fannounce&tr=http%3a%2f%2fopen.acgtracker.com%3a1096%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,Kirara Fantasia,/Users/DX3906/Desktop/工作室/凌睿/二轮/爬虫/spiderMikan/downloads/full/a0fc715c7fb36c1b304042b197b57a6f048c5dc3.torrent
[猎户压制部] 水属性的魔法师 / Mizu Zokusei no Mahoutsukai [07] [1080p] [简日内嵌] [2025年7月番],327.9 MB,magnet:?xt=urn:btih:72135fa52acd35bf276734b68283ff25fedb4793&tr=http%3a%2f%2ft.nyaatracker.com%2fannounce&tr=http%3a%2f%2ftracker.kamigami.org%3a2710%2fannounce&tr=http%3a%2f%2fshare.camoe.cn%3a8080%2fannounce&tr=http%3a%2f%2fopentracker.acgnx.se%2fannounce&tr=http%3a%2f%2fanidex.moe%3a6969%2fannounce&tr=http%3a%2f%2ft.acg.rip%3a6699%2fannounce&tr=https%3a%2f%2ftr.bangumi.moe%3a9696%2fannounce&tr=udp%3a%2f%2ftr.bangumi.moe%3a6969%2fannounce&tr=http%3a%2f%2fopen.acgtracker.com%3a1096%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,猎户发布组,/Users/DX3906/Desktop/工作室/凌睿/二轮/爬虫/spiderMikan/downloads/full/88d5e81eecda4af7bd279d64a2208a17fc2d8355.torrent
[银色子弹字幕组][名侦探柯南][第87集 白鹤报恩杀人事件][WEBRIP][简日双语MP4/繁日双语MP4/简繁日多语MKV][1080P],1.2GB,magnet:?xt=urn:btih:3639ae53e997ae55f1aff41a3d242808d720e691&tr=http%3a%2f%2ft.nyaatracker.com%2fannounce&tr=http%3a%2f%2ftracker.kamigami.org%3a2710%2fannounce&tr=http%3a%2f%2fshare.camoe.cn%3a8080%2fannounce&tr=http%3a%2f%2fopentracker.acgnx.se%2fannounce&tr=http%3a%2f%2fanidex.moe%3a6969%2fannounce&tr=http%3a%2f%2ft.acg.rip%3a6699%2fannounce&tr=https%3a%2f%2ftr.bangumi.moe%3a9696%2fannounce&tr=udp%3a%2f%2ftr.bangumi.moe%3a6969%2fannounce&tr=http%3a%2f%2fopen.acgtracker.com%3a1096%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,银色子弹字幕组,/Users/DX3906/Desktop/工作室/凌睿/二轮/爬虫/spiderMikan/downloads/full/8de5b8a2443863e12faf5cfd8a114192db1529c6.torrent
[黒ネズミたち] 怪兽8号 第二季 / Kaijuu 8-gou 2nd Season - 19 (CR 1920x1080 AVC AAC MKV),1.2 GB,magnet:?xt=urn:btih:feddd4c8b3ff8d4f90fee1c0396a619feb752b4e&tr=http%3a%2f%2ft.nyaatracker.com%2fannounce&tr=http%3a%2f%2ftracker.kamigami.org%3a2710%2fannounce&tr=http%3a%2f%2fshare.camoe.cn%3a8080%2fannounce&tr=http%3a%2f%2fopentracker.acgnx.se%2fannounce&tr=http%3a%2f%2fanidex.moe%3a6969%2fannounce&tr=http%3a%2f%2ft.acg.rip%3a6699%2fannounce&tr=https%3a%2f%2ftr.bangumi.moe%3a9696%2fannounce&tr=udp%3a%2f%2ftr.bangumi.moe%3a6969%2fannounce&tr=http%3a%2f%2fopen.acgtracker.com%3a1096%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,Kirara Fantasia,/Users/DX3906/Desktop/工作室/凌睿/二轮/爬虫/spiderMikan/downloads/full/7bf6f06e0430a9d6f750ac472fe932378d4aa497.torrent
[猎户手抄部] 碧蓝之海 第二季 / Grand Blue S2 [06] [1080p] [繁日内嵌] [2025年7月番],430.1 MB,magnet:?xt=urn:btih:39a8dc0a54935e615c19fff9c25dfd7d441ff545&tr=http%3a%2f%2ft.nyaatracker.com%2fannounce&tr=http%3a%2f%2ftracker.kamigami.org%3a2710%2fannounce&tr=http%3a%2f%2fshare.camoe.cn%3a8080%2fannounce&tr=http%3a%2f%2fopentracker.acgnx.se%2fannounce&tr=http%3a%2f%2fanidex.moe%3a6969%2fannounce&tr=http%3a%2f%2ft.acg.rip%3a6699%2fannounce&tr=https%3a%2f%2ftr.bangumi.moe%3a9696%2fannounce&tr=udp%3a%2f%2ftr.bangumi.moe%3a6969%2fannounce&tr=http%3a%2f%2fopen.acgtracker.com%3a1096%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,猎户发布组,/Users/DX3906/Desktop/工作室/凌睿/二轮/爬虫/spiderMikan/downloads/full/8afcddc1d6c3c57d02529b28d0b941d6f6bc3a47.torrent
[黒ネズミたち] 费马的料理 / Fermat no Ryouri - 08 (Baha 1920x1080 AVC AAC MP4),343.4 MB,magnet:?xt=urn:btih:19b5b0f3c1a31d7bd68f47d929a7b75d575ea3c7&tr=http%3a%2f%2ft.nyaatracker.com%2fannounce&tr=http%3a%2f%2ftracker.kamigami.org%3a2710%2fannounce&tr=http%3a%2f%2fshare.camoe.cn%3a8080%2fannounce&tr=http%3a%2f%2fopentracker.acgnx.se%2fannounce&tr=http%3a%2f%2fanidex.moe%3a6969%2fannounce&tr=http%3a%2f%2ft.acg.rip%3a6699%2fannounce&tr=https%3a%2f%2ftr.bangumi.moe%3a9696%2fannounce&tr=udp%3a%2f%2ftr.bangumi.moe%3a6969%2fannounce&tr=http%3a%2f%2fopen.acgtracker.com%3a1096%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,Kirara Fantasia,/Users/DX3906/Desktop/工作室/凌睿/二轮/爬虫/spiderMikan/downloads/full/85184d477bf39162abeabfb99bf66a97f9a715da.torrent
[黒ネズミたち] 安妮・雪莉 / Anne Shirley - 20 (CR 1920x1080 AVC AAC MKV),687.3 MB,magnet:?xt=urn:btih:dbbbc307781efa12a5015f4a9d394d0b0caeb4e5&tr=http%3a%2f%2ft.nyaatracker.com%2fannounce&tr=http%3a%2f%2ftracker.kamigami.org%3a2710%2fannounce&tr=http%3a%2f%2fshare.camoe.cn%3a8080%2fannounce&tr=http%3a%2f%2fopentracker.acgnx.se%2fannounce&tr=http%3a%2f%2fanidex.moe%3a6969%2fannounce&tr=http%3a%2f%2ft.acg.rip%3a6699%2fannounce&tr=https%3a%2f%2ftr.bangumi.moe%3a9696%2fannounce&tr=udp%3a%2f%2ftr.bangumi.moe%3a6969%2fannounce&tr=http%3a%2f%2fopen.acgtracker.com%3a1096%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,Kirara Fantasia,/Users/DX3906/Desktop/工作室/凌睿/二轮/爬虫/spiderMikan/downloads/full/b3cf64e604970e6751af7f5d17cb4fb2c972a2a8.torrent
[黒ネズミたち] 9-nine- 支配者的王冠 / 9-nine- Shihaisha no Oukan - 09 (ABEMA 1920x1080 AVC AAC MP4),711.6 MB,magnet:?xt=urn:btih:048954704668dc984b028df83608c78bc34cac15&tr=http%3a%2f%2ft.nyaatracker.com%2fannounce&tr=http%3a%2f%2ftracker.kamigami.org%3a2710%2fannounce&tr=http%3a%2f%2fshare.camoe.cn%3a8080%2fannounce&tr=http%3a%2f%2fopentracker.acgnx.se%2fannounce&tr=http%3a%2f%2fanidex.moe%3a6969%2fannounce&tr=http%3a%2f%2ft.acg.rip%3a6699%2fannounce&tr=https%3a%2f%2ftr.bangumi.moe%3a9696%2fannounce&tr=udp%3a%2f%2ftr.bangumi.moe%3a6969%2fannounce&tr=http%3a%2f%2fopen.acgtracker.com%3a1096%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,Kirara Fantasia,/Users/DX3906/Desktop/工作室/凌睿/二轮/爬虫/spiderMikan/downloads/full/d262cdde23d23dee4777401075f1ab6bf9f3f260.torrent
[猎户手抄部] 碧蓝之海 第二季 / Grand Blue S2 [06] [1080p] [简日内嵌] [2025年7月番],429.9 MB,magnet:?xt=urn:btih:9df9f408d6dba2c2956f9f904604347545619a0f&tr=http%3a%2f%2ft.nyaatracker.com%2fannounce&tr=http%3a%2f%2ftracker.kamigami.org%3a2710%2fannounce&tr=http%3a%2f%2fshare.camoe.cn%3a8080%2fannounce&tr=http%3a%2f%2fopentracker.acgnx.se%2fannounce&tr=http%3a%2f%2fanidex.moe%3a6969%2fannounce&tr=http%3a%2f%2ft.acg.rip%3a6699%2fannounce&tr=https%3a%2f%2ftr.bangumi.moe%3a9696%2fannounce&tr=udp%3a%2f%2ftr.bangumi.moe%3a6969%2fannounce&tr=http%3a%2f%2fopen.acgtracker.com%3a1096%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,猎户发布组,/Users/DX3906/Desktop/工作室/凌睿/二轮/爬虫/spiderMikan/downloads/full/421426debc4c12e2d3f4eac22780f02876ad5358.torrent
[黒ネズミたち] 气绝勇者与暗杀公主 / Kizetsu Yuusha to Ansatsu Hime - 09 (Baha 1920x1080 AVC AAC MP4),423.5 MB,magnet:?xt=urn:btih:246e8fa8f2a4979fa796e7e2eea07296e465a132&tr=http%3a%2f%2ft.nyaatracker.com%2fannounce&tr=http%3a%2f%2ftracker.kamigami.org%3a2710%2fannounce&tr=http%3a%2f%2fshare.camoe.cn%3a8080%2fannounce&tr=http%3a%2f%2fopentracker.acgnx.se%2fannounce&tr=http%3a%2f%2fanidex.moe%3a6969%2fannounce&tr=http%3a%2f%2ft.acg.rip%3a6699%2fannounce&tr=https%3a%2f%2ftr.bangumi.moe%3a9696%2fannounce&tr=udp%3a%2f%2ftr.bangumi.moe%3a6969%2fannounce&tr=http%3a%2f%2fopen.acgtracker.com%3a1096%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,Kirara Fantasia,/Users/DX3906/Desktop/工作室/凌睿/二轮/爬虫/spiderMikan/downloads/full/bbccc02dde27d05a8113ddac2e6e0ce7d09d779d.torrent
[黒ネズミたち] 气绝勇者与暗杀公主 / Kizetsu Yuusha to Ansatsu Hime - 09 (B-Global 1920x1080 HEVC AAC MKV),341.2 MB,magnet:?xt=urn:btih:38ca9f1b3f14d9ca61aea26df4a8e62caedbba7d&tr=http%3a%2f%2ft.nyaatracker.com%2fannounce&tr=http%3a%2f%2ftracker.kamigami.org%3a2710%2fannounce&tr=http%3a%2f%2fshare.camoe.cn%3a8080%2fannounce&tr=http%3a%2f%2fopentracker.acgnx.se%2fannounce&tr=http%3a%2f%2fanidex.moe%3a6969%2fannounce&tr=http%3a%2f%2ft.acg.rip%3a6699%2fannounce&tr=https%3a%2f%2ftr.bangumi.moe%3a9696%2fannounce&tr=udp%3a%2f%2ftr.bangumi.moe%3a6969%2fannounce&tr=http%3a%2f%2fopen.acgtracker.com%3a1096%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,Kirara Fantasia,/Users/DX3906/Desktop/工作室/凌睿/二轮/爬虫/spiderMikan/downloads/full/ec4b247fc5535db6e1018bda4b58f254948e46a1.torrent
[黒ネズミたち] 气绝勇者与暗杀公主 / Kizetsu Yuusha to Ansatsu Hime - 08 (ABEMA 1920x1080 AVC AAC MP4),712.6 MB,magnet:?xt=urn:btih:9398fac3815680ef266b71fc3b32f4c266ff0c5e&tr=http%3a%2f%2ft.nyaatracker.com%2fannounce&tr=http%3a%2f%2ftracker.kamigami.org%3a2710%2fannounce&tr=http%3a%2f%2fshare.camoe.cn%3a8080%2fannounce&tr=http%3a%2f%2fopentracker.acgnx.se%2fannounce&tr=http%3a%2f%2fanidex.moe%3a6969%2fannounce&tr=http%3a%2f%2ft.acg.rip%3a6699%2fannounce&tr=https%3a%2f%2ftr.bangumi.moe%3a9696%2fannounce&tr=udp%3a%2f%2ftr.bangumi.moe%3a6969%2fannounce&tr=http%3a%2f%2fopen.acgtracker.com%3a1096%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,Kirara Fantasia,/Users/DX3906/Desktop/工作室/凌睿/二轮/爬虫/spiderMikan/downloads/full/6f433b9da3f27c1134cc9d0d461597d15ad2db6d.torrent
【动漫国&桜都字幕组】★07月新番[彻夜之歌 第二季][07-08][1080P][繁体][MP4],784.4MB,magnet:?xt=urn:btih:106752a23ba79638b171c5a5b8d1b7f8d3b23d6c&tr=http%3a%2f%2ft.nyaatracker.com%2fannounce&tr=http%3a%2f%2ftracker.kamigami.org%3a2710%2fannounce&tr=http%3a%2f%2fshare.camoe.cn%3a8080%2fannounce&tr=http%3a%2f%2fopentracker.acgnx.se%2fannounce&tr=http%3a%2f%2fanidex.moe%3a6969%2fannounce&tr=http%3a%2f%2ft.acg.rip%3a6699%2fannounce&tr=https%3a%2f%2ftr.bangumi.moe%3a9696%2fannounce&tr=udp%3a%2f%2ftr.bangumi.moe%3a6969%2fannounce&tr=http%3a%2f%2fopen.acgtracker.com%3a1096%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,动漫国字幕组,/Users/DX3906/Desktop/工作室/凌睿/二轮/爬虫/spiderMikan/downloads/full/8025870eb43d6487bab7318c234f6d724c12ec4c.torrent
【动漫国&桜都字幕组】★07月新番[彻夜之歌 第二季][07-08][1080P][简体][MP4],784.5MB,magnet:?xt=urn:btih:bb8112eb98f873e7e60997a8dd221b60d13cdae3&tr=http%3a%2f%2ft.nyaatracker.com%2fannounce&tr=http%3a%2f%2ftracker.kamigami.org%3a2710%2fannounce&tr=http%3a%2f%2fshare.camoe.cn%3a8080%2fannounce&tr=http%3a%2f%2fopentracker.acgnx.se%2fannounce&tr=http%3a%2f%2fanidex.moe%3a6969%2fannounce&tr=http%3a%2f%2ft.acg.rip%3a6699%2fannounce&tr=https%3a%2f%2ftr.bangumi.moe%3a9696%2fannounce&tr=udp%3a%2f%2ftr.bangumi.moe%3a6969%2fannounce&tr=http%3a%2f%2fopen.acgtracker.com%3a1096%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,动漫国字幕组,/Users/DX3906/Desktop/工作室/凌睿/二轮/爬虫/spiderMikan/downloads/full/399c56489a534401615bc8261d638a5b5bb8cbda.torrent
[ANi]  气绝勇者与暗杀公主 - 09 [1080P][Baha][WEB-DL][AAC AVC][CHT][MP4],424.4 MB,magnet:?xt=urn:btih:016096228e140d5ff8054ef2f7d743913343df65&tr=http%3a%2f%2ft.nyaatracker.com%2fannounce&tr=http%3a%2f%2ftracker.kamigami.org%3a2710%2fannounce&tr=http%3a%2f%2fshare.camoe.cn%3a8080%2fannounce&tr=http%3a%2f%2fopentracker.acgnx.se%2fannounce&tr=http%3a%2f%2fanidex.moe%3a6969%2fannounce&tr=http%3a%2f%2ft.acg.rip%3a6699%2fannounce&tr=https%3a%2f%2ftr.bangumi.moe%3a9696%2fannounce&tr=udp%3a%2f%2ftr.bangumi.moe%3a6969%2fannounce&tr=http%3a%2f%2fopen.acgtracker.com%3a1096%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,ANi,/Users/DX3906/Desktop/工作室/凌睿/二轮/爬虫/spiderMikan/downloads/full/cdc62058d199ba6d7283bb89f76ab07fb3c8589f.torrent
[ANi] Fermats Cuisine /  费马的料理 - 08 [1080P][Baha][WEB-DL][AAC AVC][CHT][MP4],343.6 MB,magnet:?xt=urn:btih:ff71bac22d0018c761b011c313d249d38cfe674c&tr=http%3a%2f%2ft.nyaatracker.com%2fannounce&tr=http%3a%2f%2ftracker.kamigami.org%3a2710%2fannounce&tr=http%3a%2f%2fshare.camoe.cn%3a8080%2fannounce&tr=http%3a%2f%2fopentracker.acgnx.se%2fannounce&tr=http%3a%2f%2fanidex.moe%3a6969%2fannounce&tr=http%3a%2f%2ft.acg.rip%3a6699%2fannounce&tr=https%3a%2f%2ftr.bangumi.moe%3a9696%2fannounce&tr=udp%3a%2f%2ftr.bangumi.moe%3a6969%2fannounce&tr=http%3a%2f%2fopen.acgtracker.com%3a1096%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,ANi,/Users/DX3906/Desktop/工作室/凌睿/二轮/爬虫/spiderMikan/downloads/full/70fb3e2130328ca0f2582275521ac7c89f92f2d2.torrent
[黒ネズミたち] 9-nine- 支配者的王冠 / 9-nine- Shihaisha no Oukan - 09 (Baha 1920x1080 AVC AAC MP4),439.5 MB,magnet:?xt=urn:btih:962bf2758702e227f3424afa3937df6bfb97341b&tr=http%3a%2f%2ft.nyaatracker.com%2fannounce&tr=http%3a%2f%2ftracker.kamigami.org%3a2710%2fannounce&tr=http%3a%2f%2fshare.camoe.cn%3a8080%2fannounce&tr=http%3a%2f%2fopentracker.acgnx.se%2fannounce&tr=http%3a%2f%2fanidex.moe%3a6969%2fannounce&tr=http%3a%2f%2ft.acg.rip%3a6699%2fannounce&tr=https%3a%2f%2ftr.bangumi.moe%3a9696%2fannounce&tr=udp%3a%2f%2ftr.bangumi.moe%3a6969%2fannounce&tr=http%3a%2f%2fopen.acgtracker.com%3a1096%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,Kirara Fantasia,/Users/DX3906/Desktop/工作室/凌睿/二轮/爬虫/spiderMikan/downloads/full/fb82eaa7408e467c19012a41985216f9a9782fb1.torrent
[三明治摆烂组] 强者的新传说 / Tsuyokute New Saga / 强くてニューサーガ - 06 - [繁日内嵌][H264 8bit 1080P],406.4 MB,magnet:?xt=urn:btih:bc006e56d2086f3fad029d10decaadddd2e8250c&tr=http%3a%2f%2ft.nyaatracker.com%2fannounce&tr=http%3a%2f%2ftracker.kamigami.org%3a2710%2fannounce&tr=http%3a%2f%2fshare.camoe.cn%3a8080%2fannounce&tr=http%3a%2f%2fopentracker.acgnx.se%2fannounce&tr=http%3a%2f%2fanidex.moe%3a6969%2fannounce&tr=http%3a%2f%2ft.acg.rip%3a6699%2fannounce&tr=https%3a%2f%2ftr.bangumi.moe%3a9696%2fannounce&tr=udp%3a%2f%2ftr.bangumi.moe%3a6969%2fannounce&tr=http%3a%2f%2fopen.acgtracker.com%3a1096%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,三明治摆烂组,/Users/DX3906/Desktop/工作室/凌睿/二轮/爬虫/spiderMikan/downloads/full/96958cf195b309517a77ca1e90d57cad16c0111b.torrent
[黒ネズミたち] 安妮・雪莉 / Anne Shirley - 20 (Baha 1920x1080 AVC AAC MP4),315.2 MB,magnet:?xt=urn:btih:459e33506c316d490c6688bc82de35619827d64a&tr=http%3a%2f%2ft.nyaatracker.com%2fannounce&tr=http%3a%2f%2ftracker.kamigami.org%3a2710%2fannounce&tr=http%3a%2f%2fshare.camoe.cn%3a8080%2fannounce&tr=http%3a%2f%2fopentracker.acgnx.se%2fannounce&tr=http%3a%2f%2fanidex.moe%3a6969%2fannounce&tr=http%3a%2f%2ft.acg.rip%3a6699%2fannounce&tr=https%3a%2f%2ftr.bangumi.moe%3a9696%2fannounce&tr=udp%3a%2f%2ftr.bangumi.moe%3a6969%2fannounce&tr=http%3a%2f%2fopen.acgtracker.com%3a1096%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,Kirara Fantasia,/Users/DX3906/Desktop/工作室/凌睿/二轮/爬虫/spiderMikan/downloads/full/7162210497ab8921531dd17f0d567d82f3e09ba5.torrent
[黒ネズミたち] 丑男真战士 / Busamen Gachi Fighter - 08 (ABEMA 1920x1080 AVC AAC MP4),712.0 MB,magnet:?xt=urn:btih:3bd342eb817aa0b083a4e7d38d6b084c1b75cd3e&tr=http%3a%2f%2ft.nyaatracker.com%2fannounce&tr=http%3a%2f%2ftracker.kamigami.org%3a2710%2fannounce&tr=http%3a%2f%2fshare.camoe.cn%3a8080%2fannounce&tr=http%3a%2f%2fopentracker.acgnx.se%2fannounce&tr=http%3a%2f%2fanidex.moe%3a6969%2fannounce&tr=http%3a%2f%2ft.acg.rip%3a6699%2fannounce&tr=https%3a%2f%2ftr.bangumi.moe%3a9696%2fannounce&tr=udp%3a%2f%2ftr.bangumi.moe%3a6969%2fannounce&tr=http%3a%2f%2fopen.acgtracker.com%3a1096%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,Kirara Fantasia,/Users/DX3906/Desktop/工作室/凌睿/二轮/爬虫/spiderMikan/downloads/full/d84932a22a4c2daaf4657e4ad7f51c049e132b20.torrent
[ANi] Anne Shirley /  安妮・雪莉 - 20 [1080P][Baha][WEB-DL][AAC AVC][CHT][MP4],315.4 MB,magnet:?xt=urn:btih:6dc6b1a60611edcc3a34808dd7216a8b3e0b3ebd&tr=http%3a%2f%2ft.nyaatracker.com%2fannounce&tr=http%3a%2f%2ftracker.kamigami.org%3a2710%2fannounce&tr=http%3a%2f%2fshare.camoe.cn%3a8080%2fannounce&tr=http%3a%2f%2fopentracker.acgnx.se%2fannounce&tr=http%3a%2f%2fanidex.moe%3a6969%2fannounce&tr=http%3a%2f%2ft.acg.rip%3a6699%2fannounce&tr=https%3a%2f%2ftr.bangumi.moe%3a9696%2fannounce&tr=udp%3a%2f%2ftr.bangumi.moe%3a6969%2fannounce&tr=http%3a%2f%2fopen.acgtracker.com%3a1096%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,ANi,/Users/DX3906/Desktop/工作室/凌睿/二轮/爬虫/spiderMikan/downloads/full/8ffd0ce62d4b83c9fc9fcab0687599cf6f44cf33.torrent
[ANi] 9nine Rulers Crown /  9-nine- 支配者的王冠 - 09 [1080P][Baha][WEB-DL][AAC AVC][CHT][MP4],439.8 MB,magnet:?xt=urn:btih:e5150f3c1253b44ba7c534efdbc63079b0be52f7&tr=http%3a%2f%2ft.nyaatracker.com%2fannounce&tr=http%3a%2f%2ftracker.kamigami.org%3a2710%2fannounce&tr=http%3a%2f%2fshare.camoe.cn%3a8080%2fannounce&tr=http%3a%2f%2fopentracker.acgnx.se%2fannounce&tr=http%3a%2f%2fanidex.moe%3a6969%2fannounce&tr=http%3a%2f%2ft.acg.rip%3a6699%2fannounce&tr=https%3a%2f%2ftr.bangumi.moe%3a9696%2fannounce&tr=udp%3a%2f%2ftr.bangumi.moe%3a6969%2fannounce&tr=http%3a%2f%2fopen.acgtracker.com%3a1096%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,ANi,/Users/DX3906/Desktop/工作室/凌睿/二轮/爬虫/spiderMikan/downloads/full/6b85f82ba13b664249f199e156a555900be885a6.torrent
